Time-stamp [msec];average number of samplings per node;average hopcount of received frames;average number of received sourced frames per node;relative delivery error [%];average energy of nodes [%];average communication energy of nodes [%];average number of extreme samplings per node;rate of alive nodes [%]
26300;0.733333;3.825000;0.666667;9.090909;88.728684;5.807769;0.191667;100.000000
26400;0.733333;3.825000;0.666667;9.090909;88.728668;5.807769;0.191667;100.000000
26500;0.741667;3.825000;0.666667;10.112360;88.665381;5.863538;0.200000;100.000000
26600;0.741667;3.825000;0.666667;10.112360;88.665112;5.863539;0.200000;100.000000
26700;0.741667;3.825000;0.666667;10.112360;88.665096;5.863539;0.200000;100.000000
26800;0.741667;3.825000;0.666667;10.112360;88.665081;5.863539;0.200000;100.000000
26900;0.741667;3.825000;0.666667;10.112360;88.665065;5.863539;0.200000;100.000000
27000;0.750000;3.825000;0.666667;11.111111;88.622572;5.899877;0.208333;100.000000
27100;0.750000;3.825000;0.666667;11.111111;88.622303;5.899879;0.208333;100.000000
27200;0.758333;3.814815;0.675000;10.989011;88.566680;5.950128;0.216667;100.000000
27300;0.758333;3.814815;0.675000;10.989011;88.566664;5.950128;0.216667;100.000000
27400;0.758333;3.814815;0.675000;10.989011;88.566648;5.950128;0.216667;100.000000
27500;0.758333;3.814815;0.675000;10.989011;88.566633;5.950128;0.216667;100.000000
27600;0.758333;3.814815;0.675000;10.989011;88.566617;5.950128;0.216667;100.000000
27700;0.766667;3.804878;0.683333;10.869565;88.530110;5.982996;0.225000;100.000000
27800;0.766667;3.804878;0.683333;10.869565;88.530095;5.982996;0.225000;100.000000
27900;0.775000;3.783133;0.691667;10.752688;88.508360;6.002528;0.233333;100.000000
28000;0.775000;3.783133;0.691667;10.752688;88.508344;6.002528;0.233333;100.000000
28100;0.775000;3.783133;0.691667;10.752688;88.508328;6.002528;0.233333;100.000000
28200;0.775000;3.783133;0.691667;10.752688;88.508313;6.002528;0.233333;100.000000
28300;0.775000;3.783133;0.691667;10.752688;88.508297;6.002528;0.233333;100.000000
28400;0.775000;3.783133;0.691667;10.752688;88.508281;6.002528;0.233333;100.000000
28500;0.775000;3.783133;0.691667;10.752688;88.508265;6.002528;0.233333;100.000000
28600;0.775000;3.783133;0.691667;10.752688;88.508250;6.002528;0.233333;100.000000
28700;0.775000;3.783133;0.691667;10.752688;88.508234;6.002528;0.233333;100.000000
28800;0.775000;3.783133;0.691667;10.752688;88.508218;6.002528;0.233333;100.000000
28900;0.783333;3.773810;0.700000;10.638298;88.457085;6.048687;0.241667;100.000000
29000;0.783333;3.773810;0.700000;10.638298;88.457070;6.048687;0.241667;100.000000
29100;0.783333;3.773810;0.700000;10.638298;88.457054;6.048687;0.241667;100.000000
29200;0.783333;3.773810;0.700000;10.638298;88.457038;6.048687;0.241667;100.000000
29300;0.783333;3.773810;0.700000;10.638298;88.457023;6.048687;0.241667;100.000000
29400;0.783333;3.773810;0.700000;10.638298;88.457007;6.048687;0.241667;100.000000
29500;0.783333;3.773810;0.700000;10.638298;88.456991;6.048687;0.241667;100.000000
29600;0.783333;3.773810;0.700000;10.638298;88.456976;6.048687;0.241667;100.000000
29700;0.783333;3.773810;0.700000;10.638298;88.456960;6.048687;0.241667;100.000000
29800;0.791667;3.773810;0.700000;11.578947;88.425727;6.074556;0.250000;100.000000
29900;0.791667;3.811765;0.708333;10.526316;88.334907;6.158568;0.250000;100.000000
30000;0.791667;3.811765;0.708333;10.526316;88.334892;6.158568;0.250000;100.000000
30100;0.791667;3.811765;0.708333;10.526316;88.334876;6.158568;0.250000;100.000000
30200;0.791667;3.811765;0.708333;10.526316;88.334860;6.158568;0.250000;100.000000
30300;0.791667;3.811765;0.708333;10.526316;88.334844;6.158568;0.250000;100.000000
30400;0.791667;3.811765;0.708333;10.526316;88.334829;6.158568;0.250000;100.000000
30500;0.791667;3.811765;0.708333;10.526316;88.334813;6.158568;0.250000;100.000000
30600;0.791667;3.811765;0.708333;10.526316;88.334797;6.158568;0.250000;100.000000
30700;0.791667;3.811765;0.708333;10.526316;88.334782;6.158568;0.250000;100.000000
30800;0.791667;3.811765;0.708333;10.526316;88.334766;6.158568;0.250000;100.000000
30900;0.791667;3.811765;0.708333;10.526316;88.334750;6.158568;0.250000;100.000000
31000;0.791667;3.811765;0.708333;10.526316;88.334735;6.158568;0.250000;100.000000
31100;0.800000;3.802326;0.716667;10.416667;88.285065;6.203396;0.258333;100.000000
